42300,706,38.0,62.0,42.0,27.0,24.0,14.0
42000,58,29.0,44.0,42.0,18.0,19.0,18.0
42300,121,37.0,45.0,62.0,24.0,25.0,24.0
42600,848,39.0,57.0,41.0,25.0,23.0,23.0
40200,869,40.0,57.0,41.0,34.0,30.0,16.0
39900,1312,35.0,61.0,48.0,27.0,31.0,32.0
39600,1228,40.0,58.0,49.0,28.0,29.0,26.0
41700,1199,40.0,66.0,48.0,26.0,26.0,27.0
41400,1028,23.0,34.0,53.0,15.0,13.0,13.0
40800,497,18.0,30.0,40.0,11.0,12.0,14.0
42000,506,25.0,32.0,60.0,15.0,15.0,14.0
40800,509,21.0,30.0,40.0,12.0,13.0,14.0
39900,526,22.0,36.0,41.0,14.0,17.0,17.0
39900,529,23.0,33.0,39.0,16.0,17.0,17.0
42600,134,30.0,31.0,39.0,18.0,17.0,15.0
42000,541,25.0,29.0,34.0,15.0,16.0,16.0
42900,327,40.0,58.0,40.0,28.0,28.0,27.0
40200,338,37.0,63.0,40.0,25.0,28.0,30.0
42300,206,39.0,55.0,42.0,30.0,31.0,30.0
42300,236,33.0,47.0,42.0,24.0,18.0,9.0
39900,630,34.0,60.0,82.0,23.0,25.0,24.0
42900,1300,41.0,66.0,48.0,28.0,29.0,28.0
42300,646,42.0,57.0,50.0,29.0,29.0,28.0
42300,1276,33.0,59.0,48.0,22.0,23.0,23.0
42600,680,45.0,64.0,43.0,35.0,34.0,32.0
41400,735,42.0,52.0,73.0,27.0,27.0,27.0
41700,981,46.0,65.0,42.0,42.0,40.0,47.0
39900,9,37.0,53.0,42.0,30.0,33.0,29.0
39900,902,58.0,48.0,65.0,79.0,69.0,61.0
39600,124,61.0,47.0,41.0,98.0,96.0,82.0
39900,1227,36.0,63.0,48.0,23.0,27.0,26.0
40800,1063,27.0,52.0,63.0,19.0,18.0,20.0
42900,1100,35.0,51.0,63.0,30.0,29.0,27.0
40500,423,17.0,29.0,40.0,12.0,13.0,14.0
39600,544,31.0,38.0,40.0,20.0,23.0,22.0
40200,326,36.0,69.0,40.0,25.0,26.0,27.0
40200,380,36.0,61.0,58.0,25.0,27.0,29.0
39600,1246,41.0,52.0,49.0,26.0,28.0,25.0
42000,1260,41.0,63.0,49.0,28.0,28.0,27.0
40500,1032,28.0,49.0,66.0,18.0,20.0,22.0
39600,783,58.0,65.0,42.0,47.0,49.0,46.0
40800,664,31.0,57.0,42.0,20.0,20.0,22.0
42000,679,51.0,92.0,42.0,37.0,37.0,36.0
42000,681,45.0,65.0,42.0,44.0,50.0,45.0
40800,1,30.0,57.0,41.0,20.0,20.0,22.0
41400,67,31.0,39.0,57.0,19.0,17.0,17.0
39900,84,39.0,57.0,57.0,26.0,15.0,7.0
40500,901,51.0,59.0,41.0,51.0,66.0,65.0
41100,929,30.0,43.0,42.0,21.0,21.0,23.0
42900,1178,37.0,48.0,48.0,26.0,25.0,24.0
42900,1034,28.0,35.0,60.0,17.0,17.0,16.0
39900,438,20.0,30.0,40.0,12.0,16.0,16.0
39900,439,22.0,29.0,36.0,13.0,16.0,16.0
40800,471,20.0,31.0,40.0,13.0,13.0,14.0
39600,530,28.0,35.0,40.0,18.0,20.0,17.0
42900,531,25.0,32.0,40.0,15.0,16.0,15.0
40800,555,32.0,65.0,39.0,21.0,22.0,24.0
40800,198,29.0,54.0,54.0,17.0,18.0,16.0
40500,1136,31.0,56.0,50.0,21.0,23.0,25.0
41400,1146,39.0,58.0,49.0,27.0,25.0,20.0
39900,200,30.0,45.0,43.0,20.0,23.0,23.0
39600,264,49.0,61.0,42.0,33.0,19.0,8.0
40800,268,35.0,56.0,42.0,25.0,22.0,23.0
42900,783,50.0,63.0,42.0,41.0,43.0,30.0
40200,625,30.0,51.0,42.0,19.0,19.0,20.0
42600,800,8.0,36.0,40.0,6.0,6.0,6.0
40200,657,33.0,63.0,57.0,24.0,27.0,28.0
42000,695,54.0,66.0,42.0,43.0,45.0,51.0
41100,413,35.0,61.0,42.0,33.0,33.0,32.0
40800,277,32.0,50.0,40.0,19.0,20.0,23.0
39600,754,38.0,48.0,41.0,26.0,27.0,21.0
41100,1215,35.0,53.0,48.0,24.0,23.0,25.0
42000,434,26.0,33.0,40.0,16.0,15.0,14.0
40200,493,21.0,23.0,39.0,13.0,15.0,15.0
42900,530,26.0,32.0,40.0,17.0,17.0,16.0
42300,135,22.0,31.0,40.0,14.0,15.0,15.0
39900,374,41.0,69.0,40.0,31.0,33.0,32.0
40200,1062,28.0,49.0,55.0,17.0,19.0,22.0
41400,1237,33.0,56.0,49.0,22.0,21.0,21.0
42600,1244,40.0,57.0,49.0,25.0,25.0,25.0
42000,962,33.0,47.0,56.0,21.0,21.0,21.0
42000,593,34.0,56.0,42.0,22.0,23.0,23.0
40500,785,37.0,52.0,60.0,32.0,33.0,22.0
42900,1279,37.0,60.0,48.0,24.0,24.0,24.0
40800,727,37.0,60.0,58.0,24.0,25.0,27.0
40500,731,32.0,51.0,95.0,22.0,24.0,26.0
41400,416,36.0,47.0,42.0,22.0,21.0,22.0
40200,276,28.0,52.0,41.0,18.0,21.0,24.0
40800,868,39.0,54.0,40.0,30.0,32.0,32.0
42300,899,51.0,57.0,55.0,48.0,49.0,57.0
41400,306,34.0,50.0,41.0,23.0,22.0,22.0
41400,310,39.0,54.0,41.0,26.0,27.0,27.0
41400,926,36.0,53.0,40.0,29.0,27.0,25.0
40500,1053,29.0,56.0,62.0,20.0,22.0,26.0
42600,534,27.0,28.0,39.0,17.0,16.0,15.0
41100,567,27.0,52.0,58.0,18.0,17.0,19.0
41100,170,40.0,63.0,39.0,29.0,28.0,26.0
40500,365,27.0,62.0,40.0,19.0,22.0,24.0
42300,1251,35.0,62.0,48.0,23.0,25.0,19.0
40500,1150,29.0,52.0,49.0,19.0,21.0,24.0
41700,962,32.0,44.0,56.0,21.0,21.0,21.0
41700,593,33.0,53.0,42.0,23.0,23.0,23.0
40200,785,42.0,56.0,60.0,38.0,32.0,17.0
42600,1279,38.0,65.0,48.0,25.0,24.0,24.0
40500,727,36.0,60.0,58.0,25.0,27.0,28.0
40200,731,37.0,55.0,95.0,25.0,26.0,27.0
41100,416,32.0,49.0,42.0,21.0,21.0,22.0
39900,276,32.0,52.0,41.0,22.0,25.0,25.0
40500,868,36.0,52.0,40.0,33.0,35.0,33.0
42000,899,50.0,59.0,55.0,42.0,49.0,60.0
41100,306,30.0,49.0,41.0,22.0,21.0,22.0
41100,310,33.0,53.0,41.0,27.0,27.0,28.0
41100,926,31.0,54.0,40.0,27.0,25.0,23.0
40200,1053,34.0,54.0,62.0,23.0,26.0,28.0
42300,534,24.0,26.0,39.0,15.0,15.0,15.0
40800,567,26.0,52.0,58.0,16.0,17.0,19.0
40800,170,40.0,63.0,39.0,28.0,29.0,26.0
40200,365,30.0,59.0,40.0,24.0,25.0,26.0
42000,1251,40.0,61.0,48.0,26.0,26.0,18.0
40200,1150,35.0,57.0,49.0,23.0,24.0,25.0
40200,200,27.0,43.0,43.0,18.0,20.0,22.0
39900,264,34.0,55.0,42.0,24.0,23.0,13.0
41100,268,36.0,57.0,42.0,32.0,28.0,25.0
40500,625,25.0,46.0,42.0,17.0,18.0,19.0
42900,800,8.0,36.0,40.0,6.0,6.0,6.0
40500,657,31.0,58.0,57.0,22.0,24.0,26.0
42300,695,52.0,67.0,42.0,41.0,43.0,49.0
41400,413,40.0,60.0,42.0,33.0,33.0,32.0
41100,277,32.0,47.0,40.0,20.0,20.0,22.0
39900,754,31.0,49.0,41.0,20.0,22.0,21.0
41400,1215,41.0,55.0,48.0,27.0,25.0,25.0
39600,1188,52.0,75.0,48.0,30.0,23.0,19.0
42300,434,22.0,29.0,40.0,14.0,15.0,14.0
40500,493,18.0,21.0,39.0,11.0,13.0,15.0
42600,135,27.0,30.0,40.0,16.0,15.0,15.0
39600,154,47.0,67.0,40.0,33.0,32.0,28.0
40200,374,38.0,66.0,40.0,25.0,28.0,30.0
40500,1062,27.0,47.0,55.0,19.0,19.0,21.0
41700,1237,32.0,58.0,49.0,22.0,21.0,22.0
