39900,3841,22785,92,53.0,56.0,41.0,80.0,68.0,59.0,39850,39931
40500,11519,70168,1188,34.0,59.0,48.0,22.0,22.0,15.0,40448,40561
39600,3970,23679,489,29.0,37.0,39.0,19.0,20.0,17.0,39486,39657
41400,4054,24302,1062,40.0,54.0,55.0,32.0,31.0,27.0,41296,41461
42600,7336,44272,1237,39.0,54.0,48.0,26.0,24.0,22.0,42587,42618
42900,7338,44304,497,27.0,34.0,40.0,17.0,17.0,15.0,42816,43030
40800,4027,24106,510,19.0,34.0,40.0,11.0,12.0,14.0,40789,40920
40800,11937,73300,510,19.0,34.0,40.0,11.0,12.0,14.0,40586,40814
39900,3841,22785,532,21.0,34.0,40.0,13.0,16.0,16.0,39850,39927
41700,7176,42875,615,50.0,67.0,59.0,43.0,43.0,39.0,41487,41733
41100,7102,42145,624,30.0,52.0,59.0,20.0,20.0,21.0,41043,41180
41100,7101,42134,650,45.0,55.0,42.0,32.0,32.0,34.0,41040,41110
42600,6544,39247,912,41.0,54.0,41.0,27.0,24.0,23.0,42542,42607
40200,712,3581,1187,34.0,62.0,48.0,22.0,25.0,25.0,40189,40300
41700,7184,42945,1254,33.0,58.0,48.0,22.0,22.0,22.0,41569,41847
41700,7184,42945,785,42.0,55.0,60.0,39.0,36.0,29.0,41569,41840
39900,1379,7940,803,39.0,61.0,42.0,26.0,29.0,28.0,39611,39917
42000,7232,43355,727,43.0,63.0,58.0,27.0,27.0,27.0,41979,42039
42000,7239,43414,727,43.0,63.0,58.0,27.0,27.0,27.0,41980,42241
42000,4083,24510,727,43.0,63.0,58.0,27.0,27.0,27.0,41945,42041
40500,1879,10388,72,29.0,51.0,41.0,24.0,20.0,10.0,40330,40507
41400,4067,24401,276,31.0,51.0,41.0,21.0,22.0,22.0,41341,41497
42000,7222,43263,868,39.0,50.0,40.0,32.0,30.0,31.0,41966,42027
42600,4118,24772,306,40.0,56.0,41.0,25.0,24.0,23.0,42444,42603
42600,10995,67659,310,45.0,53.0,41.0,35.0,28.0,28.0,42498,42727
42600,4132,24888,310,45.0,53.0,41.0,35.0,28.0,28.0,42595,42626
41700,4078,24472,1053,35.0,55.0,62.0,23.0,23.0,24.0,41599,41792
41700,7185,42956,365,32.0,58.0,40.0,21.0,22.0,22.0,41589,41721
41700,7176,42875,413,42.0,64.0,42.0,36.0,35.0,33.0,41487,41717
41700,6226,37567,1215,40.0,57.0,48.0,29.0,28.0,27.0,41647,41711
39900,1382,7960,1188,40.0,68.0,48.0,26.0,16.0,7.0,39609,39942
